,parent_link,child_link,common_words,percentage_similarity
0,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/artificial-intelligence/,,
1,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/cognitive/,,
2,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/data-science/,,
3,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/developers/,,
4,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/machine-learning/,,
5,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/machine-learning/introduction-to-object-detection/,"{'x_center', 'bh', '\\begin', '(', 'accuracy', 'applying', 'instead', 'passed', 'accurate.A', 'tasks', 'resulting', 'anchor', 'crop', 'topics', 'ratio', 'non-max', 'space', 'Code', 'size', 'data', 'full', 'image', 'closely', 'x_max', 'model.If', 'np.concatenate', 'PreprocessingPython', '5.Fig', 'new', 'contrast', 'equation', 'loss', 'making', 'calculated', 'conversion', 'While', '1:3', 'maximum', 'classes.We', 'Learning', 'finally', '{', 'ideal', 'filter', 'truth', 'First', 'Intersection', 'y_2', 'resolution', 'ground', 'preceding', 'Congratulate', 'turn', 'responsible', 'increase', 'reaching', 'paper', 'filtering', 'layers.Now', 'remedy', 'otherwise', 'applies', 'car', 'y_1=1', 'Look', 'various', '1000', 'problem.Before', 'boxz', '0.5*', 'box_wh', '^2', 'thought', 'aswhere', 'compose', 'duplicate', 'single', 'Joseph', 'boxz.shape', 'weighted', '400', 'equal', 'c_1', 'previous', 'max_boxes', 'stored', 'vision', 'probability', 'Fig', '123456789101112131415161718192021222324252627282930313233343536373839404142def', 'load', 'IoU', 'power', 'system', 'popular', 'running', 'drawbacks', 'source', 'context', 'HackerEarth', 'equally', 'predictions', 'etc', 'detections', 'For', 'localizationA', 'see', '256', 'resizing', 'differentiate', 'dtype=np.float', 'pre', 'related', 'converted', 'code.Due', 'times', 'measure', 'limitations', 'order', 'appropriate', 'freeze', 'list', 'parameters', 'boxes_wh', 'Anchor', '\\mathcal', 'Shape', 'got', 'looks', 'windowNote', 'pre-trained', '1000x', '<', 'respective', 'demonstrates', 'y_3', 'extend', 'place', 'np.expand_dims', 'half', 'as\\begin', 'Compose', 'b_x', 'process', 'convolution', 'trained', 'zero_padding', 'simple', 'Unlike', 'makes', 'detected', '\\', 'algorithm.In', '–', 'area', 'cell', ':', 'lot', 'To', 'pad', 'fully', 'non', 'w_i', 'grid', 'return', 'known', 'time.Have', 'implements', 'image.We', '224', 'object', 'discard', 'VOC', 'conscious', 'Process', 'something', 'directly', 'reduce', 'trucks', '+', 'transfer', 'Probability/confidence', 'y_i', 'logistic', 'replacing', 'example', '”', 'Overlapping', 'R-CNN.If', 'boxes', 'easily', 'make', '.\\begin', 'predicting', 'localize', 'predicts', 'scales', 'layerWe', 'boxbx', 'λnoobj', 'read', 'us', 'xmin', '8', 'algorithms', 'problem', 'min', 'R-CNN', 'limited', 'want', 'union', 'represented', '416', 'advantages', 'basics', '2007', 'axis=0', 'architecture', 'without', 'feature', 'slow', '’', 'boxesEarlier', 'bounding', 'Consequently', 'boxesNext', 'class.One', 'bw', 'task', 'These', 'threshold', 'If', '/', 'saved', 'approach', 'comment', 'carsNow', 'car.Fig', 'C_i', 'e.g', 'mechanism', 'may', 'define', 'c_8', 'also', 'model.Before', 'hyper-parameter', 'imageNext', 'Farhadi', 'predict.Fig', 'final', 'y_5', '\\smash', 'PIL.Image.BICUBIC', '.Let', 'multiple', 'outputs', 'input', 'given', 'still', 'detection.Fig', '.The', '6.', 'fast', 'convents', 'Although', 'feed', 'used', '.height', 'cropped', 'sum', '&', '…', 'except', 'version', 'Original', 'h_i', 'layer', 'value', 'computer', 'classifier', '%', 'steps', 'training', '=', 'classes/', 'c_4', 'optimize', 'discussed', 'expensive', 'suggestions', 'dive', 'box_height', 'weakness', 'x', 'image/', 'frames', 'here.Have', 'decided', 'confidence', '^T', 'fails', 'second', 'y_center', 'extractor', 'seem', 'help', 'Ci', 'remove', 'As', 'initialized', 'ideas', '``', 'forward', 'With', '1D', 'check', 'earlier', '16', 'Probability', 'class.then', 'this.Note', 'enumerate', 'person', 'c_2', 'informed', 'width', 'self', 'squared', 'form', 'every', 'explore', 'None', 'accomplish', 'draw', 'works', 'c_i', 'multi-class', 'NMS', 'last', 'H', 'box_xy', 'axis=-1', 'identifying', 'two', 'uses', 'x_min', 'maximal', 'W', 'monitor', 'Union', 'captured', 'zero', 'ci', 'variable', 'Redmon', 'music', 'output', 'amounts', 'j', 'classification', 'less', 'rider', 'b_y', '-1', 'bx', '>', 'matrix', 'box_extents', 'according', 'class', 'Pool', 'Feel', 'simply', 'bmatrix', 'dataset', 'sample', 'bike', 'y_7', 'decrease', 'whole', '6', 'metrics', 'test-dev', 'YOLOv2', 'encourage', 'Berkeley', 'predict', 'possible', 'x_', 'extremely', 'features', 'You', 'end', 'def', 'L', 'Max', 'scratch', 'daunting', 'Sliding', 'different', 'apply', 'to.For', 'The', 'cells', 'propagation', 'objects.An', 'location', '\\end', 'xmax', 'associated', 'practice', 'Therefore', 'yolo', 'first', 'followed', 'i.e.', '\\\\', 'error', 'extents', 'networks', '1-D', 'identify', 'values', 'result', 'Till', '0', '14', '5', 'comparison', 'ImageNet', 'slide', 'Do', 'high', 'classBut', 'Target', 'official', 'boxes=None', 'box.reshape', 'penalizes', 'simultaneously', 'Convolutional', 'Grid', 'find', 'similar', 'Divvala', 'number', 'dtype=np.float32', 'predicted', 'concept', 'algorithm', 'need', 'faster', 'blog', 'keep', 'detecting', 'ymin', 'Finally', 'scenarios.Fig', 'non-maximal', 'Bounding', 'approach.Even', 'like', '\\hat', 'I', 'replace', 'overlapping', 'recognition', 'regression', 'Source', 'YOLO', 'session', 'brings', 'shape', 'represent', 'intersection', 'involve', 'complex', 'vary', 'However', 'overview', 'predictor', 'np.zeros', 'yi', 'decisions', 'lowest', 'technique', 'following', 'use', 'tensorflow', 'image.Fig', 'classify', 'PIL.Image.fromarray', 'boxesAlthough', 'ith', 'convolutional', 'time', 'really', 'learn', 'max', 'article', 'below.We', 'pc', 'classifying', '.Fig', 'it.In', 'create', '\\frac', 'weights', 'Also', 'using', 'little', 'A', 'developed', 'truck', 'contain', 'train', 'y_1', 'computers', ""''"", 'next', 'general', 'neural', 'objects', '2', 'y_', 'np.array', '0:1', '*', 'motor', 'belongs', 'get', 'Jazz', 'Once', 'computation', 'c_3', 'windows', 'Deep', 'Object', 'part', 'Driving', '3:5', 'Since', 'Archtecture', '20', '-', 'center', 'predictions.The', 'In', 'double', 'regions', 'occupied', 'pass', 'mechanismA', 'assigned', 'within', 'y_4', 'IOU', 'availability', 'So', 'cases', 'taken', 'detections.Non-maximal', 'orig_size', 'runs', 'It', '‘', 'But', 'images', 'preprocessing', 'window', 'large', 'run', 'b_w', 'reward', 'log', 'shows', 'provided', 'one', 'objects/classes', 'considering', '.', 'accepted', 'thresholding', 'Santosh', 'present', 'called', 'driving', '?', 'Using', 'follows', 'issue', 'softmax', 'respect', '100x', 'y_max', 'ymax', 'pedestrian', 'Converting', 'would', '19', 'convert', 'pretrained', 'crops', 'i.resize', 'y_8', 'divides', 'thousands', 'green', 'highest', 'else', 'time-consuming', 'Box', 'discussions', 'play', 'terms', 'Coordinates', 'converting', 'let', 'Now', 'learned', 'fix', '“', 'it.Instead', 'i_', 'achieves', 'code', 'p_c', 'self-driving', '2.', 'stands', 'deeper', 'scenarios.Intersection', 'refers', 'y_min', 'bus', 'overlap', 'grids', 'calculate', 'building', 'operations.Fig', 'hacking', '9', 'better', '9.With', 'Only', 'probabilities', 'concepts', 'classified', 'contains', 'requires', 'capture', 'calculation', 'combine', 'wi', 'finer', 'resolve', 'variableIntersection', 'learning', 'box.Fig', 'real', 'introduction', 'Humans', 'four', 'λcoord', 'closer', '$', 'shown', 'Ross', 'Introduction', 'Generally', '4', 'visual', 'computational', 'epochs', '13', 'moves', 'w.r.t', 'anything', 'evaluation', 'share', 'helps', 'hi', 'assume', 'implementation', 'represents', '78.6', 'Girshick', 'understanding', 'COCO', 'image\\begin', 'boxes.Now', 'ConvNet', 'pi', '10', 'network', 'coordinate', '×', 'image/255', 'th', 'components', 'simultaneously.Fig', 'results', 'detection', 'computes', 'accurate', 'boxes.Fig', 'metric', 'state-of-the-art', 'obstacles', 'implemented', 'This', 'One', 'case', '24', 'Sample', 'c_4\\', 'b_h', 'y_6', '2015', 'detect', 'consider', 'human', 'sequence', 'box_width', 'advantage', 'boxes_xy', 'errors', 'scores', 'Alternating', 'x_i', 'np.vstack', 'indicating', 'p_i', '7', 'An', 'box', 'Image', 'process_data', 'coordinates', 'region', 'remaining', 'come', 'questions', 'Dataset', 'pedestrians', 'implement', 'video', 'c', '1', 'look', 'left', 'calculates', 'repeat', 'Each', 'localizing', 'What', 'We', 'distinct', 'resize', 'serve', 'Music', 'way', ')', 'HackerEarth.Struggling', 'tackles', 'representation', 'defined', 'eight', 'Get', '2,1,4,3,0', 'mechanismAfter', 'build', 'since', 'easy', 'y_1=0', 'y_9', 'sliding', 'OpenCV', 'computationally', 'stride', 'know', 'height', 'real-time', 'mAP', 'target', 'filters', 'discuss', 'Let', 'original', '}', 'analyze', 'variableData', 'manner', ',', 'free', 'Non-max', ']', '.width', 'loss.The', 'processed_images', 'GPUs', '48.1', 'cars', 'Ali', 'position', 'much', '#', 'everything', 'localization', 'connected', 'Secondly', 'say', 'corresponding', 'main', 'global', 'loss.Since', 'frame', 'score', 'layers', 'format', 'xi', 'classes', '[', 'midpoint', 'suppression', '3', 'Two', 'function', 'i.e', 'three', 'test', 'tackle', 'add', 'draws', 'model', 'Fast', 'perform', 'go'}",0.4079448798275592
6,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/blog/uncategorized/object-detection-for-self-driving-cars/attachment/fig-1-3/,,
7,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://www.hackerearth.com/challenges/competitive/on-the-plague-trail-hackerearth-machine-learning-challenge/?utm_source=blog&utm_medium=strip,,
8,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://s3-ap-southeast-1.amazonaws.com/he-public-data/Fig%209ba491b7.png,,
9,https://www.hackerearth.com/blog/developers/object-detection-for-self-driving-cars/,https://s3-ap-southeast-1.amazonaws.com/he-public-data/YOLO%20model317b0cf.PNG,,
